year,state,winner,party,winVotes,totalVotes,runnerUp,ruParty,ruVotes,rawMargin,decMargin
2012,Kansas,"Romney, Mitt",republican,692634,1159971,"Obama, Barack H.",democrat,440726,251908,0.21716749815297104
2012,Kansas,"Romney, Mitt",republican,692634,1159971,"Obama, Barack H.",democrat,440726,251908,0.21716749815297104
2016,Kansas,"Trump, Donald J.",republican,671018,1184402,"Clinton, Hillary",democrat,427005,244013,0.2060221107360508
2016,Kansas,"Trump, Donald J.",republican,671018,1184402,"Clinton, Hillary",democrat,427005,244013,0.2060221107360508
2000,Kentucky,"Bush, George W.",republican,872520,1544106,"Gore, Al",democrat,638923,233597,0.15128300777278247
2000,Kentucky,"Bush, George W.",republican,872520,1544106,"Gore, Al",democrat,638923,233597,0.15128300777278247
2004,Kentucky,"Bush, George W.",republican,1069439,1795882,"Kerry, John",democrat,712733,356706,0.19862440850790858
2004,Kentucky,"Bush, George W.",republican,1069439,1795882,"Kerry, John",democrat,712733,356706,0.19862440850790858
2008,Kentucky,"McCain, John",republican,1048462,1826620,"Obama, Barack H.",democrat,751985,296477,0.16230907358947128
2008,Kentucky,"McCain, John",republican,1048462,1826620,"Obama, Barack H.",democrat,751985,296477,0.16230907358947128
2012,Kentucky,"Romney, Mitt",republican,1087190,1797212,"Obama, Barack H.",democrat,679370,407820,0.22691813764875823
2012,Kentucky,"Romney, Mitt",republican,1087190,1797212,"Obama, Barack H.",democrat,679370,407820,0.22691813764875823
2016,Kentucky,"Trump, Donald J.",republican,1202971,1924149,"Clinton, Hillary",democrat,628854,574117,0.2983745021825233
2016,Kentucky,"Trump, Donald J.",republican,1202971,1924149,"Clinton, Hillary",democrat,628854,574117,0.2983745021825233
2000,Louisiana,"Bush, George W.",republican,927871,1765656,"Gore, Al",democrat,792344,135527,0.07675730719913737
2000,Louisiana,"Bush, George W.",republican,927871,1765656,"Gore, Al",democrat,792344,135527,0.07675730719913737
2004,Louisiana,"Bush, George W.",republican,1102169,1943106,"Kerry, John",democrat,820299,281870,0.1450615663787771
2004,Louisiana,"Bush, George W.",republican,1102169,1943106,"Kerry, John",democrat,820299,281870,0.1450615663787771
2008,Louisiana,"McCain, John",republican,1148275,1960761,"Obama, Barack H.",democrat,782989,365286,0.18629807508411272
2008,Louisiana,"McCain, John",republican,1148275,1960761,"Obama, Barack H.",democrat,782989,365286,0.18629807508411272
2012,Louisiana,"Romney, Mitt",republican,1152262,1994065,"Obama, Barack H.",democrat,809141,343121,0.172071121051721
2012,Louisiana,"Romney, Mitt",republican,1152262,1994065,"Obama, Barack H.",democrat,809141,343121,0.172071121051721
2016,Louisiana,"Trump, Donald J.",republican,1178638,2029032,"Clinton, Hillary",democrat,780154,398484,0.1963911855505483
2016,Louisiana,"Trump, Donald J.",republican,1178638,2029032,"Clinton, Hillary",democrat,780154,398484,0.1963911855505483
2000,Maine,"Gore, Al",democrat,319951,651817,"Bush, George W.",republican,286616,33335,0.051141654789611246
2000,Maine,"Gore, Al",democrat,319951,651817,"Bush, George W.",republican,286616,33335,0.051141654789611246
2004,Maine,"Kerry, John",democrat,396842,740752,"Bush, George W.",republican,330201,66641,0.08996398254746524
2004,Maine,"Kerry, John",democrat,396842,740752,"Bush, George W.",republican,330201,66641,0.08996398254746524
2008,Maine,"Obama, Barack H.",democrat,421923,731163,"McCain, John",republican,295273,126650,0.17321718960067733
2008,Maine,"Obama, Barack H.",democrat,421923,731163,"McCain, John",republican,295273,126650,0.17321718960067733
2012,Maine,"Obama, Barack H.",democrat,401306,724758,"Romney, Mitt",republican,292276,109030,0.1504364215365681
2012,Maine,"Obama, Barack H.",democrat,401306,724758,"Romney, Mitt",republican,292276,109030,0.1504364215365681
2016,Maine,"Clinton, Hillary",democrat,357735,771892,"Trump, Donald J.",republican,335593,22142,0.028685360128100856
2016,Maine,"Clinton, Hillary",democrat,357735,771892,"Trump, Donald J.",republican,335593,22142,0.028685360128100856
2000,Maryland,"Gore, Al",democrat,1144008,2025212,"Bush, George W.",republican,813827,330181,0.1630352772944264
2000,Maryland,"Gore, Al",democrat,1144008,2025212,"Bush, George W.",republican,813827,330181,0.1630352772944264
2004,Maryland,"Kerry, John",democrat,1334493,2384238,"Bush, George W.",republican,1024703,309790,0.12993249834957754
2004,Maryland,"Kerry, John",democrat,1334493,2384238,"Bush, George W.",republican,1024703,309790,0.12993249834957754
2008,Maryland,"Obama, Barack H.",democrat,1629467,2631596,"McCain, John",republican,959862,669605,0.2544482511753323
2008,Maryland,"Obama, Barack H.",democrat,1629467,2631596,"McCain, John",republican,959862,669605,0.2544482511753323
2012,Maryland,"Obama, Barack H.",democrat,1677844,2707327,"Romney, Mitt",republican,971869,705975,0.26076458440373107
2012,Maryland,"Obama, Barack H.",democrat,1677844,2707327,"Romney, Mitt",republican,971869,705975,0.26076458440373107
2016,Maryland,"Clinton, Hillary",democrat,1677928,2781446,"Trump, Donald J.",republican,943169,734759,0.264164395066451
2016,Maryland,"Clinton, Hillary",democrat,1677928,2781446,"Trump, Donald J.",republican,943169,734759,0.264164395066451
2000,Massachusetts,"Gore, Al",democrat,1616487,2733964,"Bush, George W.",republican,878502,737985,0.2699322302707716
2000,Massachusetts,"Gore, Al",democrat,1616487,2733964,"Bush, George W.",republican,878502,737985,0.2699322302707716
